Player,Standing,Year,Return Rating,% 1st Serve Return Points Won,% 2nd Serve Return Points Won,% Return Games Won,% Break Points Converted
Frederic Fontang,19,1992,159.2,34.9,52.6,32.0,39.7
Jim Courier,20,1992,158.3,31.8,54.5,29.8,42.2
Goran Prpic,21,1992,158.0,34.0,52.5,31.0,40.5
MaliVai Washington,22,1992,157.1,33.1,50.8,28.8,44.4
Thierry Champion,23,1992,156.6,31.8,53.6,28.4,42.8
Karel Novacek,24,1992,156.6,33.3,52.1,29.9,41.3
Thomas Muster,25,1992,156.5,32.6,52.9,29.1,41.9
Jonas Svensson,26,1992,156.5,32.3,53.2,27.5,43.5
Magnus Gustafsson,27,1992,156.3,35.7,49.9,29.4,41.3
Wayne Ferreira,28,1992,155.2,32.2,51.9,27.5,43.6
Brad Gilbert,29,1992,154.9,32.4,51.3,27.3,43.9
Jimmy Connors,30,1992,154.8,31.2,53.2,28.5,41.9
Andrei Chesnokov,31,1992,154.7,32.3,52.0,28.9,41.5
Jaime Yzaga,32,1992,154.3,32.0,51.7,28.2,42.4
Ivan Lendl,33,1992,153.8,30.6,53.3,28.4,41.5
Alexander Volkov,34,1992,153.8,30.1,52.0,26.6,45.1
Patrick McEnroe,35,1992,153.7,29.3,54.6,26.1,43.7
Gabriel Markus,36,1992,153.0,30.0,53.3,24.6,45.1
Emilio Sanchez,37,1992,152.9,33.8,49.0,27.3,42.8
Stefan Edberg,38,1992,152.8,31.1,53.5,27.4,40.8
Marcelo Filippini,39,1992,152.6,32.5,51.9,27.1,41.1
Carl-Uwe Steeb,40,1992,152.1,31.0,52.3,26.1,42.7
Pete Sampras,41,1992,152.1,30.4,51.7,26.5,43.5
Gianluca Pozzi,42,1992,151.7,32.0,51.2,26.3,42.2
John McEnroe,43,1992,151.1,30.2,51.3,26.6,43.0
Henrik Holm,44,1992,150.7,31.8,51.0,25.1,42.8
Jeff Tarango,45,1992,150.2,29.5,51.9,26.7,42.1
Guillaume Raoux,46,1992,150.1,27.3,53.9,25.3,43.6
Todd Martin,47,1992,149.7,30.1,52.7,26.5,40.4
Mark Woodforde,48,1992,149.7,31.2,51.9,25.7,40.9
Alberto Mancini,49,1992,149.6,28.9,50.5,24.1,46.1
Horst Skoff,50,1992,149.3,32.4,48.5,26.2,42.2
Guillermo Perez-Roldan,1,1991,183.3,37.5,56.6,38.6,50.6
Magnus Gustafsson,2,1991,177.2,37.9,55.4,36.1,47.8
Thomas Muster,3,1991,175.7,37.7,54.4,36.0,47.6
Michael Chang,4,1991,172.7,34.5,54.8,35.2,48.2
Andrei Chesnokov,5,1991,172.0,36.4,52.7,35.1,47.8
Jordi Arrese,6,1991,169.8,34.9,55.5,34.3,45.1
Stefan Edberg,7,1991,168.1,35.5,54.3,33.3,45.0
Sergi Bruguera,8,1991,167.5,34.2,55.4,32.8,45.1
Horacio de la Pena,9,1991,166.8,37.4,53.6,34.6,41.2
Fabrice Santoro,10,1991,166.2,35.5,53.8,33.9,43.0
Anders Jarryd,11,1991,165.2,33.4,52.5,30.8,48.5
Francisco Clavet,12,1991,165.1,34.9,53.2,33.0,44.0
Goran Prpic,13,1991,165.1,34.3,53.7,32.2,44.9
Eduardo Masso,14,1991,164.7,34.9,52.8,30.4,46.6
Jimmy Connors,15,1991,164.6,34.3,54.1,32.3,43.9
Lars Jonsson,16,1991,164.4,33.4,53.2,32.1,45.7
Christian Bergstrom,17,1991,163.2,34.8,52.1,31.6,44.7
Renzo Furlan,18,1991,163.2,35.8,51.2,31.5,44.7
Ivan Lendl,19,1991,161.5,32.1,53.3,29.4,46.7
Jaime Yzaga,20,1991,160.4,34.5,51.1,30.8,44.0
Jim Courier,21,1991,160.3,31.8,53.2,29.7,45.6
Petr Korda,22,1991,160.3,33.7,52.7,29.6,44.3
Marian Vajda,23,1991,159.6,34.7,51.3,29.3,44.3
Jaime Oncins,24,1991,159.4,35.1,53.7,29.7,40.9
Patrick McEnroe,25,1991,159.3,32.2,55.7,30.3,41.1
Jimmy Arias,26,1991,158.8,32.4,53.8,29.7,42.9
Paul Haarhuis,27,1991,158.3,34.2,49.6,28.2,46.3
Horst Skoff,28,1991,157.4,34.6,51.3,29.1,42.4
Richard Fromberg,29,1991,157.0,34.8,48.3,27.7,46.2
Thierry Champion,30,1991,156.9,33.8,49.2,28.1,45.8
Brad Gilbert,31,1991,156.6,34.8,49.6,28.7,43.5
Carl-Uwe Steeb,32,1991,156.4,33.4,52.1,27.4,43.5
Andrei Cherkasov,33,1991,156.3,31.8,54.0,28.3,42.2
Andre Agassi,34,1991,155.7,32.0,53.0,28.9,41.8
Arnaud Boetsch,35,1991,155.7,32.5,52.9,28.8,41.5
Alexander Volkov,36,1991,155.4,32.5,50.7,26.6,45.6
Jonas Svensson,37,1991,155.3,33.5,50.3,27.9,43.6
Veli Paloheimo,38,1991,154.7,35.5,52.1,29.4,37.7
Javier Frana,39,1991,154.2,30.7,51.0,25.1,47.4
Jan Gunnarsson,40,1991,154.2,33.3,51.3,27.9,41.7
Richey Reneberg,41,1991,153.9,33.5,51.2,28.4,40.8
Gilad Bloom,42,1991,153.3,31.6,49.4,27.2,45.1
Boris Becker,43,1991,153.1,32.6,50.4,27.3,42.8
MaliVai Washington,44,1991,152.8,30.8,52.1,26.1,43.8
John McEnroe,45,1991,152.6,33.5,50.6,27.7,40.8
Tomas Carbonell,46,1991,152.0,31.5,50.4,26.5,43.6
Todd Woodbridge,47,1991,152.0,30.0,53.3,26.5,42.2
Martin Jaite,48,1991,151.7,32.7,48.7,26.0,44.3
Mark Koevermans,49,1991,151.7,34.7,48.6,26.6,41.8
Omar Camporese,50,1991,151.6,32.1,49.8,26.2,43.5
